# spectral number density of the CMB photon field
# -----------------------------------------------
# nu [Hz],dn/de [m-3 eV-1]
1.819700858609781414e+07,2.303685517443735600e+08
1.862087136662660167e+07,2.357336448683784306e+08
1.905460717963033915e+07,2.412236656049773991e+08
1.949844599757825956e+07,2.468415219382961392e+08
1.995262314968654141e+07,2.525901894960452020e+08
2.041737944669297710e+07,2.584727131208026111e+08
2.089296130853801593e+07,2.644922084776928723e+08
2.137962089501987398e+07,2.706518636992998123e+08
2.187761623949301243e+07,2.769549410686691403e+08
2.238721138568081334e+07,2.834047787412801981e+08
2.290867652767507732e+07,2.900047925068799257e+08
2.344228815319649130e+07,2.967584775920997858e+08
2.398832919019210339e+07,3.036694105047906041e+08
2.454708915684742481e+07,3.107412509210346341e+08
2.511886431509284303e+07,3.179777436158190370e+08
2.570395782768559828e+07,3.253827204383682609e+08
2.630267991895069182e+07,3.329601023331654072e+08
2.691534803926594555e+07,3.407139014077101350e+08
2.754228703337836638e+07,3.486482230480857491e+08
2.818382931264114752e+07,3.567672680834314227e+08
2.884031503126257658e+07,3.650753350004436374e+08
2.951209226666027680e+07,3.735768222090513110e+08
3.019951720401648432e+07,3.822762303604382873e+08
3.090295432513212785e+07,3.911781647186129093e+08
3.162277660167991370e+07,4.002873375867514014e+08
3.235936569295884296e+07,4.096085707895658016e+08
3.311311214825501665e+07,4.191467982129826546e+08
3.388441561391604692e+07,4.289070684024401903e+08
3.467368504524884373e+07,4.388945472211442590e+08
3.548133892335309833e+07,4.491145205696558952e+08
3.630780547700557113e+07,4.595723971682077646e+08
3.715352290971256793e+07,4.702737114031829834e+08
3.801893963205130398e+07,4.812241262392220497e+08
3.890451449942310899e+07,4.924294361984516978e+08
3.981071705534464121e+07,5.038955704083695412e+08
4.073802778040605038e+07,5.156285957199435234e+08
4.168693834702818096e+07,5.276347198975314498e+08
4.265795188015376031e+07,5.399202948822492361e+08
4.365158322401093692e+07,5.524918201304646730e+08
4.466835921509049833e+07,5.653559460291167498e+08
4.570881896148153394e+07,5.785194773896173239e+08
4.677351412871368974e+07,5.919893770221048594e+08
4.786300923225754499e+07,6.057727693918884993e+08
4.897788193683815747e+07,6.198769443599359989e+08
5.011872336272058636e+07,6.343093610093175173e+08
